8,20,8,50
8,40,9,10
9,20,9,50
9,40,10,10
10,40,11,10
12,0,12,30
12,30,13,0
13,20,13,50
15,10,15,40
16,30,17,0
17,10,17,40
17,50,18,20
19,10,19,35
